"base_filename","frame","region","person","x0","y0","c0","x1","y1","c1","x2","y2","c2","x3","y3","c3","x4","y4","c4","x5","y5","c5","x6","y6","c6","x7","y7","c7","x8","y8","c8","x9","y9","c9","x10","y10","c10","x11","y11","c11","x12","y12","c12","x13","y13","c13","x14","y14","c14","x15","y15","c15","x16","y16","c16","x17","y17","c17","x18","y18","c18","x19","y19","c19","x20","y20","c20","x21","y21","c21","x22","y22","c22","x23","y23","c23","x24","y24","c24"
"Dyad-46.0_A_IDs-44-42",1,"body","left","568.54","568.528","0.897865","406.717","706.849","0.697494","297.742","715.729","0.581796","406.676","998.336","0.816136","653.929","951.214","0.829388","521.407","692.166","0.701928","621.513","921.654","0.771984","597.988","704.011","0.865498","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","536.159","539.143","0.872157","559.702","539.127","0.193649","421.463","562.728","0.859616","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dyad-46.0_A_IDs-44-42",2,"body","left","568.585","571.508","0.912334","409.527","703.971","0.693995","297.767","712.807","0.575724","406.64","1001.11","0.819328","653.935","951.211","0.831562","521.396","692.147","0.692753","621.553","921.666","0.774401","597.993","706.815","0.864728","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","539.081","542.086","0.870846","562.601","542.103","0.208162","424.317","562.719","0.862479","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dyad-46.0_A_IDs-44-42",3,"body","left","571.394","574.356","0.911587","406.689","706.865","0.716514","297.743","712.69","0.589381","406.636","1001.13","0.821674","653.984","951.204","0.83022","518.541","695.135","0.692644","621.477","921.669","0.76708","597.971","709.745","0.870186","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","542.121","544.95","0.881972","562.661","545.015","0.149115","424.346","562.744","0.858424","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dyad-46.0_A_IDs-44-42",4,"body","left","571.455","574.338","0.925184","406.69","704.008","0.704877","297.786","709.821","0.585571","406.648","998.354","0.818399","653.948","951.2","0.829278","518.557","695.077","0.693492","621.457","921.707","0.765275","597.995","709.812","0.875292","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","542.13","544.937","0.883041","562.699","547.834","0.137945","430.179","565.596","0.879266","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dyad-46.0_A_IDs-44-42",5,"body","left","571.485","571.545","0.929386","406.673","706.812","0.692974","297.805","709.865","0.579887","406.675","998.34","0.821529","653.934","951.206","0.825433","521.377","692.23","0.683986","621.535","921.722","0.775487","597.942","706.946","0.862058","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","542.034","542.128","0.875561","562.717","544.962","0.178243","430.14","568.466","0.883981","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dyad-46.0_A_IDs-44-42",6,"body","left","571.506","574.342","0.925945","406.671","703.947","0.691433","297.797","709.827","0.578275","406.648","998.298","0.814597","653.924","951.213","0.823312","518.551","692.14","0.681822","621.602","918.87","0.771481","597.925","706.927","0.866848","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","542.116","544.909","0.875773","565.542","544.966","0.172598","430.118","568.48","0.879227","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dyad-46.0_A_IDs-44-42",7,"body","left","571.438","574.371","0.919306","406.668","703.877","0.688916","297.793","709.841","0.57901","406.649","998.311","0.812927","653.969","951.206","0.823948","518.528","689.284","0.678948","624.384","921.664","0.774347","595.113","706.845","0.858735","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","542.076","544.985","0.88492","562.698","547.821","0.138964","427.307","568.488","0.878856","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dyad-46.0_A_IDs-44-42",8,"body","left","571.475","574.45","0.921023","406.694","703.941","0.700959","300.665","709.804","0.579448","406.674","998.333","0.813395","653.862","951.209","0.824587","518.57","692.213","0.687633","624.386","918.844","0.773392","595.116","706.886","0.852449","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","542.13","544.991","0.881276","565.59","545.056","0.1666","427.275","568.445","0.871558","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dyad-46.0_A_IDs-44-42",9,"body","left","571.571","574.361","0.929601","406.738","703.973","0.706632","297.813","709.795","0.585046","406.649","998.335","0.812139","653.845","951.227","0.828026","521.389","692.222","0.693553","621.613","918.845","0.775824","597.912","709.76","0.862661","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","542.118","545.01","0.8892","568.464","542.127","0.225619","430.124","568.506","0.880657","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dyad-46.0_A_IDs-44-42",10,"body","left","574.328","571.49","0.927617","409.541","703.96","0.680823","300.68","709.877","0.581056","406.622","1001.15","0.809921","653.905","951.196","0.827929","521.376","692.176","0.678958","621.596","918.774","0.775211","597.937","709.741","0.857829","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","542.058","544.912","0.880631","568.43","542.083","0.252459","427.348","568.445","0.876271","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
