base_filename,frame,region,person,x0,y0,c0,x1,y1,c1,x2,y2,c2,x3,y3,c3,x4,y4,c4,x5,y5,c5,x6,y6,c6,x7,y7,c7,x8,y8,c8,x9,y9,c9,x10,y10,c10,x11,y11,c11,x12,y12,c12,x13,y13,c13,x14,y14,c14,x15,y15,c15,x16,y16,c16,x17,y17,c17,x18,y18,c18,x19,y19,c19,x20,y20,c20,x21,y21,c21,x22,y22,c22,x23,y23,c23,x24,y24,c24
A-B,1,body,left,742.276,412.464,0.948276,695.041,497.839,0.861967,592.036,503.667,0.768493,577.456,715.825,0.814223,783.401,712.696,0.838115,801.014,486.178,0.791348,827.516,668.638,0.758578,644.966,689.135,0.78586,695.037,771.615,0.544728,621.605,777.529,0.473755,0,0,0,0,0,0,762.878,771.633,0.451075,0,0,0,0,0,0,715.645,388.968,0.926746,759.781,386.059,0.911641,648.061,389.075,0.952653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A-B,2,body,left,742.369,409.62,0.937279,695.038,497.888,0.864457,592.049,503.692,0.769666,580.311,718.552,0.789481,783.392,712.728,0.841832,798.153,486.217,0.78971,830.389,668.628,0.774412,645.09,689.137,0.804866,695.114,768.771,0.559797,624.432,777.485,0.480343,0,0,0,0,0,0,765.727,768.755,0.462412,0,0,0,0,0,0,715.697,388.889,0.927803,759.876,383.12,0.903616,648.052,389.152,0.941194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A-B,3,body,left,748.099,406.723,0.881595,695.053,500.779,0.868233,592.087,503.792,0.77439,583.304,718.698,0.78091,783.403,712.714,0.84006,801.032,489.056,0.781977,830.473,671.57,0.79193,645.152,689.198,0.824378,698.057,768.748,0.534394,627.37,774.606,0.466543,0,0,0,0,0,0,768.672,768.742,0.454011,0,0,0,0,0,0,715.698,386.024,0.923797,762.64,377.29,0.89639,648.124,394.909,0.882404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A-B,4,body,left,750.997,406.551,0.848725,695.102,497.928,0.861761,592.133,503.711,0.773784,583.23,718.653,0.785888,783.42,712.721,0.845638,803.936,486.253,0.786631,830.507,671.556,0.783605,647.952,689.143,0.819967,695.228,768.704,0.552242,624.573,771.691,0.479231,0,0,0,0,0,0,765.797,768.722,0.468403,0,0,0,0,0,0,715.714,385.924,0.903005,759.834,371.374,0.883134,648.173,400.82,0.872835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A-B,5,body,left,748.056,403.757,0.850596,695.09,497.927,0.857638,594.938,503.736,0.773558,583.299,718.699,0.789578,783.402,712.738,0.843223,801.1,486.211,0.786996,833.357,671.574,0.788029,647.957,689.152,0.826828,695.225,771.629,0.530575,624.538,777.557,0.455235,0,0,0,0,0,0,765.834,771.661,0.45826,0,0,0,0,0,0,715.588,383.18,0.892151,759.75,374.244,0.862765,647.961,400.807,0.895996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A-B,6,body,left,742.335,400.767,0.867557,695.081,500.746,0.862816,594.946,503.804,0.777724,592.033,718.714,0.775882,783.436,712.722,0.839176,801.055,486.192,0.789482,833.437,671.523,0.781199,648.027,689.249,0.833093,703.907,771.646,0.469011,630.378,780.481,0.402005,0,0,0,0,0,0,771.624,771.651,0.419185,0,0,0,0,0,0,709.865,383.169,0.853674,751.035,371.3,0.856433,647.924,403.676,0.897386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A-B,7,body,left,742.071,397.832,0.892715,695,500.73,0.864354,592.059,503.801,0.770327,589.151,718.69,0.788456,786.199,712.707,0.841782,798.072,486.156,0.797939,833.431,671.603,0.787292,647.957,692.047,0.830665,700.97,771.606,0.521128,627.477,780.411,0.452955,0,0,0,0,0,0,768.763,771.613,0.446272,0,0,0,0,0,0,706.852,383.078,0.841573,745.219,368.426,0.898559,645.124,400.832,0.899774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A-B,8,body,left,739.291,397.807,0.895684,692.267,500.748,0.869594,589.141,503.824,0.76631,583.337,718.657,0.782659,786.195,712.682,0.838764,795.208,486.135,0.80396,833.438,671.59,0.791488,647.931,692.215,0.831737,698,774.564,0.524735,624.539,783.339,0.467211,0,0,0,0,0,0,765.843,774.576,0.444421,0,0,0,0,0,0,701.001,383.056,0.851473,742.316,365.624,0.927493,645.026,400.797,0.896798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A-B,9,body,left,739.104,394.957,0.873985,692.206,500.753,0.864618,586.229,503.771,0.764843,580.381,718.629,0.787009,783.445,712.699,0.833835,792.269,486.219,0.809031,833.317,674.57,0.74954,645.172,692.158,0.833595,695.215,774.596,0.448623,627.38,780.496,0.395652,0,0,0,0,0,0,765.782,777.519,0.392677,0,0,0,0,0,0,698.071,380.219,0.870581,742.151,368.371,0.934015,644.919,397.864,0.880603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A-B,10,body,left,736.333,397.796,0.863486,692.14,500.776,0.862323,583.282,503.792,0.768959,583.238,718.633,0.79926,786.217,712.673,0.837021,792.241,486.217,0.812681,833.449,674.546,0.754236,645.097,694.998,0.824092,700.984,774.595,0.418423,630.372,780.468,0.378083,0,0,0,0,0,0,768.719,777.492,0.376542,0,0,0,0,0,0,695.193,383.068,0.889467,739.39,365.613,0.934736,642.05,397.818,0.859088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A-B,11,body,left,736.244,397.796,0.860234,692.038,500.791,0.850324,580.324,503.816,0.782696,580.27,718.572,0.803577,786.216,712.659,0.829261,792.223,486.216,0.806965,833.448,680.418,0.743127,645.014,695.179,0.810068,695.222,780.435,0.403776,624.521,786.3,0.361475,0,0,0,0,0,0,768.676,780.425,0.368854,0,0,0,0,0,0,695.153,383.048,0.901187,739.345,368.443,0.915472,639.137,394.923,0.848413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
