base_filename,frame,region,person,x0,y0,c0,x1,y1,c1,x2,y2,c2,x3,y3,c3,x4,y4,c4,x5,y5,c5,x6,y6,c6,x7,y7,c7,x8,y8,c8,x9,y9,c9,x10,y10,c10,x11,y11,c11,x12,y12,c12,x13,y13,c13,x14,y14,c14,x15,y15,c15,x16,y16,c16,x17,y17,c17,x18,y18,c18,x19,y19,c19,x20,y20,c20,x21,y21,c21,x22,y22,c22,x23,y23,c23,x24,y24,c24
A-B,1,body,right,1354.57,374.276,0.864406,1448.57,506.672,0.804672,1336.72,503.802,0.790719,1316.11,674.507,0.362388,1283.71,689.21,0.767732,1566.25,506.832,0.665195,1663.5,721.706,0.746677,1448.63,724.496,0.790108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1354.33,341.974,0.92989,1395.53,350.75,0.846264,0,0,0,1475.05,362.378,0.900233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A-B,2,body,right,1354.47,377.188,0.874887,1448.58,506.675,0.810343,1336.72,503.806,0.787351,1310.32,677.447,0.393264,1280.75,689.195,0.753403,1566.25,506.833,0.658735,1672.31,721.638,0.748397,1457.4,733.297,0.742789,1445.61,889.379,0.148047,1348.51,871.694,0.0994633,0,0,0,0,0,0,1545.74,901.133,0.173127,0,0,0,0,0,0,1354.27,341.957,0.927074,1392.69,350.757,0.833041,0,0,0,1475.03,362.36,0.898534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A-B,3,body,right,1354.41,377.262,0.883859,1448.62,506.707,0.802678,1339.64,503.746,0.775328,1322.03,692.094,0.358355,1280.69,686.243,0.720532,1566.3,509.717,0.647395,1678.15,721.634,0.770833,1460.39,733.37,0.749108,1445.61,898.198,0.111216,1345.6,880.515,0.0688829,0,0,0,0,0,0,1551.57,904.054,0.145644,0,0,0,0,0,0,1351.56,342.011,0.920439,1392.6,350.731,0.825103,0,0,0,1472.26,362.41,0.91859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A-B,4,body,right,1354.32,377.267,0.886892,1451.48,506.683,0.791506,1339.64,503.684,0.76853,1319.05,683.36,0.392468,1271.94,677.482,0.712255,1569.23,509.71,0.642279,1681.13,721.675,0.786028,1472.21,739.234,0.828607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1351.44,342.023,0.914344,1386.74,350.763,0.823124,0,0,0,1472.16,362.413,0.935378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A-B,5,body,right,1351.53,380.132,0.89733,1454.42,506.756,0.779125,1342.6,503.664,0.761403,1316.13,689.181,0.442283,1263.25,677.502,0.727122,1572.2,512.671,0.627044,1684.06,721.622,0.793367,1472.27,739.289,0.822233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1351.29,344.832,0.850357,1380.87,350.801,0.854814,0,0,0,1472.09,362.397,0.929571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A-B,6,body,right,1348.54,380.128,0.867364,1454.45,506.83,0.765255,1342.6,503.687,0.76055,1322.03,689.263,0.433709,1274.88,680.367,0.757554,1575.17,518.539,0.599872,1686.99,721.636,0.761082,1478.05,739.318,0.78973,1439.77,889.388,0.135065,1345.59,868.773,0.0949049,0,0,0,0,0,0,1542.82,895.264,0.15769,0,0,0,0,0,0,1348.49,344.892,0.792736,1377.91,356.631,0.905375,0,0,0,1469.19,362.386,0.930805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A-B,7,body,right,1345.59,380.111,0.849134,1457.38,509.665,0.747187,1339.64,503.701,0.760255,1330.89,689.168,0.341789,1274.87,686.204,0.743065,1583.89,524.434,0.622173,1689.92,724.506,0.740616,1492.69,739.323,0.812843,1442.69,889.356,0.151454,1348.49,865.831,0.110293,0,0,0,0,0,0,1542.74,901.141,0.167816,0,0,0,0,0,0,1345.6,344.947,0.738459,1375.04,356.624,0.900358,0,0,0,1466.24,362.488,0.908705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A-B,8,body,right,1345.55,383.03,0.863562,1460.33,509.719,0.740765,1339.7,500.87,0.749412,1374.98,695.093,0.141754,1277.91,680.385,0.725517,1586.8,527.278,0.635866,1689.99,730.383,0.726813,1495.59,736.336,0.820457,1457.41,909.954,0.0694053,0,0,0,0,0,0,0,0,0,1560.4,907.023,0.0877782,0,0,0,0,0,0,1348.46,353.637,0.56313,1374.98,359.599,0.915068,0,0,0,1463.29,362.512,0.894137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A-B,9,body,right,1345.51,380.181,0.84981,1460.36,509.686,0.744042,1339.71,500.825,0.747118,1369.11,698.018,0.16711,1280.7,674.526,0.783247,1586.87,527.344,0.649705,1687,730.467,0.748248,1492.83,730.418,0.769431,1439.71,898.201,0.133682,1336.77,880.522,0.101485,0,0,0,0,0,0,1545.68,907.025,0.143658,0,0,0,0,0,0,1348.52,347.847,0.488194,1374.95,359.509,0.899361,0,0,0,1466.23,362.499,0.904996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A-B,10,body,right,1345.59,383.067,0.871141,1463.26,509.718,0.737505,1336.75,500.867,0.752576,1351.42,698.014,0.195865,1277.78,677.398,0.74294,1586.97,527.345,0.643805,1684.02,736.266,0.789142,1492.79,724.563,0.775057,1445.67,889.361,0.234365,1342.61,874.624,0.167331,0,0,0,0,0,0,1542.82,901.134,0.227766,0,0,0,0,0,0,1351.26,350.786,0.499765,1375,359.614,0.915447,0,0,0,1469.1,362.476,0.922136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
